"Senior (56+)","216","1","40","50","14.04"
"Senior-Middle (46-55)","284","2","52","58","13.15"
"Middle-Aged (36-45)","264","1","61","38","12.63"
"Young Adult (18-25)","305","0","60","42","11.15"
"Adult (26-35)","268","3","56","29","10.95"
