"Diamond","268","2853.61","4225.22","-1371.62","-32.46"
"Platinum","267","1214.66","3256.92","-2042.25","-62.71"
"Gold","267","784.05","2964.17","-2180.12","-73.55"
"Silver","267","471.05","2619.50","-2148.45","-82.02"
"Bronze","268","206.43","1903.11","-1696.68","-89.15"
