"Diamond","268","9177196.12","34243.27","5.89","92.18","2853.61"
"Platinum","267","3891780.40","14575.96","3.54","72.41","1214.66"
"Gold","267","2512082.91","9408.55","2.62","56.99","784.05"
"Silver","267","1509232.45","5652.56","2.00","47.64","471.05"
"Bronze","268","663893.57","2477.21","1.21","48.35","206.43"
