"southeast","364","14735.41","33.36","3.42","75.82","25.00","1.05","1","1","1"
"northeast","324","13406.38","29.17","2.95","55.86","20.68","1.05","2","4","4"
"northwest","324","12450.84","29.20","2.85","56.17","17.90","1.15","3","3","3"
"southwest","325","12346.94","30.60","2.95","60.31","17.85","1.14","4","2","2"
