"Young Adult (18-25)","305","9111.43","30.01","2.15","59.67"
"Adult (26-35)","268","10495.16","30.23","2.70","60.45"
"Middle-Aged (36-45)","264","13493.49","30.24","3.28","59.47"
"Senior-Middle (46-55)","284","15986.90","31.36","3.54","66.20"
"Senior (56+)","216","18795.99","31.74","3.84","67.59"
